id,command,last_name,first_name,rank,shield_no,active
927114,P A T U,MAK,WESLEY,Police Officer,26895,false
927115,POL ACAD,PASCAL,ARLENE,Lieutenant,00000,false
927116,111 PCT,MALDONADO,HENRY,Police Officer,28862,false
927117,044 PCT,MALDONADO,MARIA,Police Officer,28031,false
927118,PBBS,PLANAS,MILDRED,Police Officer,23861,false
927119,P A T U,MALDONADO,RAFAEL,Police Officer,14597,false
927120,INT OAS,MALHOTRA,SAMEER,Detective,05752,false
927121,P A T U,MALLON,QUINN,Police Officer,00000,false
927122,DB TSIS,MANFREDI,ANTHONY,Lieutenant,00000,true
927123,P A T U,MANGELS,KEITH,Police Officer,09607,false
927124,TB DT32,MANNERZ,GARRETT,Police Officer,18996,false
927125,P A T U,MANSFIELD,BRIAN,Police Officer,00688,false
927126,P A T U,MANSFIELD,JAMES,Police Officer,00000,false
927127,114 PCT,MANSFIELD,NICHOLAS,Sergeant,00972,false
927128,HWY 3,MANTAS,IOANNIS,Police Officer,25592,false
927129,019 DET,MARAJ,LARRY,Detective,04801,false
927130,P A T U,MARGIOTTA,MICHAEL,Police Officer,10177,false
927131,P A T U,MARISCAL,GERALD,Police Officer,16516,false
927132,010 PCT,MARMOLEJOS,JOSE,Police Officer,31092,true
927133,P A T U,MARRACELLI,MATTHEW,Police Officer,26070,false
927134,P A T U,MARRERO,DAVID,Police Officer,26081,false
927135,DRUG ENF TF,MARTE,MIGUEL,Sergeant,04050,true
927136,010 PCT,MARTER,PETER,Police Officer,18790,false
927137,CW TRAFF TF,MARTES,JAMES,Police Officer,00717,false
927138,P A T U,MARTIN,DANIEL,Police Officer,04949,false
927140,MELD,MARTIN,PETER,Police Officer,26082,true
927141,TD 2,MARTINEZ,ANDREA,Police Officer,31111,false
927142,TB DT03,MARTINEZ,JOSEPH,Police Officer,07726,false
927143,INT FIO PRG,MARTINEZ,LUIS,Detective,05120,false
927144,INT PSS,GODDARD,RUTHVEN,Lieutenant,00000,false
927145,NARCBBX,MARTINEZ,MOISES,Detective,01945,false
927146,112 PCT,GOTAY,FRANK,Police Officer,23586,false
927147,P A T U,GRAHAM,ROBERT,Police Officer,23679,false
927148,HARBOR,MARVELLI,ALBERT,Detective,07844,false
927149,112 PCT,TATUM,GLORIA,Police Officer,24533,false
927150,061 PCT,MASON,DAVID,Police Officer,12840,false
927151,DB LPS,MASSEUS,ADLER,Detective,00013,true
927152,069 PCT,MASSI,WILLIAM,Lieutenant,00000,false
927153,M COURT,MATA,ELEODORO,Police Officer,29884,true
927154,P A T U,MATOS,DAIANA,Police Officer,00000,false
927155,020 DET,MATOS,WILLIE,Police Officer,07218,false
927156,P A T U,MATVIIV,VITALIY,Police Officer,15499,false
927157,TB K9,MATZ,CHRISTOPHER,Detective,01162,false
927158,DBQN,MATZINGER,JOSEPH,Inspector,00000,true
927159,P A T U,MAURICE,DANIEL,Police Officer,11036,false
927160,MTS PCT,MAXCY,JOHN,Police Officer,00760,false
927161,P A T U,MAYNARD,BRANT,Police Officer,06712,false
927162,NARCBBX,MAZZA,KEVIN,Detective,07861,false
927163,CTERRDV,MAZZEY,CHRISTOPHE,Police Officer,29478,false
927164,P A T U,MCAULEY,JOHN,Police Officer,09025,false
927165,P A T U,MCBRIDE,THOMAS,Police Officer,14222,false
927166,026 PCT,MCCABE,IAN,Sergeant,04351,false
927168,P A T U,MCCARTHY,WILLIAM,Police Officer,05416,false
927169,P A T U,MCCLINTOCK,KEVIN,Police Officer,03720,false
927170,DB MNHM,MCCLINTOCK,PATRICK,Detective,04376,true
927171,F S S,MCCLOSKEY,BRIAN,Detective,01893,false
927172,DB GLD,MCCOADE,TIMOTHY,Deputy Inspector,00000,false
927173,P A T U,MCCOLLIN,REMARDE,Police Officer,22872,false
927174,120 PCT,MCCORMACK,DORENE,Police Officer,10213,false
927175,TB DT04,MCDONOUGH,KENNETH,Police Officer,11397,false
927176,HARBOR,MCGLYN,DANIEL,Police Officer,14224,false
927177,PBMN SU,GUINEY,STEPHEN,Police Officer,24542,false
927178,009 PCT,MCGRADE,WILLIAM,Detective,05276,false
927179,007 PCT,MCGRANE,THOMAS,Police Officer,06746,false
927180,P A T U,MCGRAW,PATRICIA,Police Officer,05436,false
927181,P A T U,MCGUINNESS,CHRISTOP,Police Officer,20950,false
927182,P A T U,HANLEY,SEAN,Police Officer,24601,false
927183,P A T U,MCINERNEY,PETER,Police Officer,10281,false
927184,HWY 01,MCKENNA,FRANCIS,Sergeant,01978,false
927185,108 PCT,MCKENNA,KELLY,Police Officer,25690,false
927186,P A T U,MCNEELY,DOROTHY,Police Officer,04214,false
927187,P A T U,MCNEIL,AESHA,Police Officer,03885,false
927188,006 PCT,MCQUILLAN,HUGH,Police Officer,29916,false
927189,P A T U,MCSORLEY,JAMES,Police Officer,12188,false
927190,P A T U,MCVEIGH,BRIAN,Police Officer,25701,false
927191,019 PCT,MEDINA,CECILIA,Police Officer,24756,false
927192,P A T U,MEDRANO,GLADYS,Police Officer,05149,false
927193,P A T U,MEHTA,NIKKI,Police Officer,23869,false
927194,YTH SD,HARDIN,PRISCILLA,Police Officer,24608,false
927195,020 DET,MEJIA,MELVIN,Detective,00301,false
927196,P A T U,MEJIA,PORFIRIO,Police Officer,04349,false
927197,MTN PCT,MELVIN,WALLACE,Police Officer,09772,false
927198,INT CIS,MENDEZ,HARRY,Detective,04748,false
927199,067 PCT,MENDEZ,ROSE,Police Officer,22958,false
927200,PSA 4,MENDONCA,SUZANNE,Police Officer,22689,false
927201,TB DT30,MENENDEZ,SALVADOR,Police Officer,31113,false
927202,PBBN,MENTOR,WINSLOW,Sergeant,00894,false
927203,032 PCT,MERCADO,DANIEL,Police Officer,08130,false
927204,MTN PCT,MERCADO,IRIS,Police Officer,31933,false
927206,109 PCT,MESSINA,MARTY,Police Officer,31118,false
927207,P A T U,MESSMER,EUGENE,Police Officer,28887,false
927208,044 PCT,MEUSE,NICHOLE,Police Officer,17722,false
927209,MTS PCT,MIEDREICH,JOSEF,Police Officer,07335,false
927210,NARCBBX,MILL,TERRY,Detective,07421,false
927212,107 PCT,MINARCZYK,PETER,Sergeant,05140,false
927213,P A T U,MIXSON,TARSH,Police Officer,27018,false
